,id,tstamp,srccomputer,computerresolved,redteam
0,530689,766801,C18250,C1065,
1,530690,766802,C18184,C18184,
2,530691,766802,C18250,C2109,
3,530692,766802,C18250,C467,
4,530693,766802,C24885,C1685,
5,530694,766802,C3664,C5030,
6,530695,766802,C5782,C16712,
7,530696,766802,C657,C568,
8,530697,766803,C18250,C528,
9,530698,766803,C18250,C586,
10,530699,766803,C18250,C625,
11,530700,766803,C24885,C1707,
12,530701,766804,C18250,C457,
13,530702,766804,C18250,C529,
14,530703,766805,C18250,C1065,
15,530704,766805,C18250,C2109,
16,530705,766805,C18250,C467,
17,530706,766805,C18250,C586,
18,530707,766805,C18250,C612,
19,530708,766805,C58,C1707,
20,530709,766806,C18250,C457,
21,530710,766806,C18250,C528,
22,530711,766806,C18250,C529,
23,530712,766806,C18250,C625,
24,530713,766807,C14179,C706,
25,530714,766808,C3380,C22841,
26,530715,766808,C768,C586,
27,530716,766811,C1750,C1604,
28,530717,766815,C18250,C457,
29,530718,766817,C18250,C467,
30,530719,766818,C18250,C1065,
31,530720,766819,C18250,C528,
32,530721,766819,C18250,C529,
33,530722,766820,C18250,C586,
34,530723,766820,C18250,C612,
35,530724,766820,C18250,C625,
36,530725,766821,C18250,C2109,
37,530726,766821,C18250,C457,
38,530727,766822,C18250,C2109,
39,530728,766822,C18250,C467,
40,530729,766822,C18250,C528,
41,530730,766822,C18250,C529,
42,530731,766822,C18250,C612,
43,530732,766822,C18250,C625,
44,530733,766822,C4077,C1707,
45,530734,766823,C1823,C2545,
46,530735,766823,C1823,C3739,
47,530736,766823,C18250,C1065,
48,530737,766823,C18250,C457,
49,530738,766823,C18250,C586,
50,530739,766825,C15855,C706,
51,530740,766825,C3380,C22841,
52,530741,766826,C13968,C1685,
53,530742,766826,C2492,C457,
54,530743,766827,C11004,C585,
55,530744,766828,C13661,C706,
56,530745,766828,C19758,C359,
57,530746,766830,C7489,C1685,
58,530747,766831,C14202,C1707,
59,530748,766832,C13583,C706,
60,530749,766832,C14202,C1707,
61,530750,766832,C7489,C1685,
62,530751,766833,C14202,C1707,
63,530752,766833,C23092,C1685,
64,530753,766833,C2480,C706,
65,530754,766834,C23092,C1707,
66,530755,766834,C7489,C1685,
67,530756,766835,C14202,C1707,
68,530757,766837,C14202,C1707,
69,530758,766837,C15394,C5030,
70,530759,766838,C14202,C2109,
71,530760,766838,C22027,C1707,
72,530761,766838,C7489,C1685,
73,530762,766838,C768,C612,
74,530763,766839,C14202,C1707,
75,530764,766839,C14202,C612,
76,530765,766843,C5785,C467,
77,530766,766844,C5785,C467,
78,530767,766845,C5785,C467,
79,530768,766846,C5279,C706,
80,530769,766846,C5785,C467,
81,530770,766847,C14202,C586,
82,530771,766847,C4693,C5030,
83,530772,766847,C5785,C467,
84,530773,766848,C20738,C5030,
85,530774,766849,C315,C1685,
86,530775,766849,C5785,C467,
87,530776,766850,C17082,C706,
88,530777,766850,C18255,C1685,
89,530778,766851,C14657,C706,
90,530779,766852,C3440,C5030,
91,530780,766853,C21224,C5030,
92,530781,766855,C14510,C1707,
93,530782,766856,C2492,C457,
94,530783,766858,C4352,C706,
95,530784,766859,C14202,C467,
96,530785,766859,C14202,C706,
97,530786,766859,C19,C612,
98,530787,766860,C2908,C706,
99,530788,766862,C24436,C24436,
100,530789,766863,C26743,C26743,
101,530790,766866,C5763,C3736,
102,530791,766868,C15187,C5030,
103,530792,766868,C21176,C706,
104,530793,766868,C21782,C1707,
105,530794,766869,C3380,C22841,
106,530795,766876,C12766,C1685,
107,530796,766876,C12766,C467,
108,530797,766876,C12766,C528,
109,530798,766876,C2852,C1707,
110,530799,766878,C12766,C2109,
111,530800,766878,C12766,C529,
112,530801,766878,C12766,C586,
113,530802,766880,C608,C706,
114,530803,766882,C4988,C5030,
115,530804,766883,C20000,C1707,
116,530805,766886,C3242,C706,
117,530806,766887,C21036,C1707,
118,530807,766887,C21036,C2109,
119,530808,766887,C21036,C612,
120,530809,766887,C3380,C22841,
121,530810,766887,C5176,C1685,
122,530811,766887,C7489,C457,
123,530812,766888,C21036,C528,
124,530813,766888,C7489,C457,
125,530814,766889,C768,C1685,
126,530815,766890,C7489,C457,
127,530816,766891,C21036,C467,
128,530817,766891,C21036,C529,
129,530818,766894,C7489,C457,
130,530819,766896,C10713,C706,
131,530820,766896,C253,C5030,
132,530821,766898,C453,C1685,
133,530822,766900,C22263,C1707,
134,530823,766904,C5953,C5030,
135,530824,766905,C1327,C1685,
136,530825,766907,C1327,C1685,
137,530826,766907,C14619,C528,
138,530827,766907,C14619,C529,
139,530828,766907,C14619,C586,
140,530829,766907,C17945,C13488,
141,530830,766909,C1327,C1685,
142,530831,766909,C1823,C2043,
143,530832,766910,C1435,C706,
144,530833,766910,C14621,C359,
145,530834,766911,C13488,C17945,
146,530835,766913,C1327,C1685,
147,530836,766913,C1823,C1879,
148,530837,766913,C5045,C706,
149,530838,766914,C20000,C1707,
150,530839,766915,C1823,C1782,
151,530840,766915,C1823,C1861,
152,530841,766915,C1823,C2483,
153,530842,766915,C1823,C4036,
154,530843,766915,C1823,C4683,
155,530844,766915,C1823,C4843,
156,530845,766915,C2303,C1707,
157,530846,766916,C1823,C1673,
158,530847,766916,C2492,C457,
159,530848,766917,C1823,C1732,
160,530849,766917,C1823,C2481,
161,530850,766921,C1823,C1727,
162,530851,766921,C1823,C2359,
163,530852,766921,C1823,C3055,
164,530853,766921,C1823,C5458,
165,530854,766922,C15678,C1685,
166,530855,766922,C1823,C61,
167,530856,766927,C1823,C3740,
168,530857,766927,C4508,C5030,
169,530858,766928,C12766,C612,
170,530859,766928,C1823,C2359,
171,530860,766928,C2492,C457,
172,530861,766929,C1327,C1707,
173,530862,766930,C15618,C5030,
174,530863,766930,C3380,C22841,
175,530864,766931,C1327,C1707,
176,530865,766931,C1823,C1703,
177,530866,766931,C1823,C2055,
178,530867,766933,C11768,C1685,
179,530868,766933,C11768,C586,
180,530869,766933,C1327,C1707,
181,530870,766935,C11768,C1065,
182,530871,766935,C11768,C612,
183,530872,766935,C14439,C1685,
184,530873,766935,C14494,C1685,
185,530874,766935,C1823,C2046,
186,530875,766935,C1823,C2732,
187,530876,766935,C1823,C2761,
