,Unnamed: 0,id,tstamp,userdomain,src,dst,usr,domain,redteam,day,hour_cyclical,hour_encoded
0,0,261,768556,U66@DOM1,C17693,C306,U66,DOM1,,9,22.0,922.0
1,1,79,736582,U2837@DOM1,C17693,C89,U2837,DOM1,,9,13.0,913.0
2,2,80,736894,U2837@DOM1,C17693,C1484,U2837,DOM1,,9,13.0,913.0
3,3,81,736936,U2837@DOM1,C17693,C8490,U2837,DOM1,,9,13.0,913.0
4,4,82,737011,U349@DOM1,C17693,C3601,U349,DOM1,,9,13.0,913.0
5,5,83,737055,U2837@DOM1,C17693,C1784,U2837,DOM1,,9,13.0,913.0
6,6,84,737069,U2837@DOM1,C17693,C1784,U2837,DOM1,,9,13.0,913.0
7,7,85,737075,U2837@DOM1,C17693,C1784,U2837,DOM1,,9,13.0,913.0
8,8,86,737099,U2837@DOM1,C17693,C2519,U2837,DOM1,,9,13.0,913.0
9,9,87,737108,U8946@DOM1,C17693,C11194,U8946,DOM1,,9,13.0,913.0
10,10,88,737301,U2837@DOM1,C17693,C395,U2837,DOM1,,9,13.0,913.0
11,11,89,737761,U8946@DOM1,C17693,C10577,U8946,DOM1,,9,13.0,913.0
12,12,90,737908,U8601@DOM1,C17693,C18872,U8601,DOM1,,9,13.0,913.0
13,13,91,738382,U293@DOM1,C17693,C2597,U293,DOM1,,9,14.0,914.0
14,14,92,738711,U293@DOM1,C17693,C2609,U293,DOM1,,9,14.0,914.0
15,15,93,738916,U250@DOM1,C17693,C2849,U250,DOM1,,9,14.0,914.0
16,16,94,739092,U293@DOM1,C17693,C3422,U293,DOM1,,9,14.0,914.0
17,17,95,739214,U293@DOM1,C17693,C3153,U293,DOM1,,9,14.0,914.0
18,18,96,739398,U293@DOM1,C17693,C42,U293,DOM1,,9,14.0,914.0
19,19,97,739706,U1600@DOM1,C17693,C92,U1600,DOM1,,9,14.0,914.0
20,20,98,739734,U1600@DOM1,C17693,C16088,U1600,DOM1,,9,14.0,914.0
21,21,99,740104,U1600@DOM1,C17693,C92,U1600,DOM1,,9,14.0,914.0
22,22,100,740912,U349@DOM1,C17693,C886,U349,DOM1,,9,14.0,914.0
23,23,101,740920,U349@DOM1,C17693,C886,U349,DOM1,,9,14.0,914.0
24,24,102,741010,U8601@DOM1,C17693,C10817,U8601,DOM1,,9,14.0,914.0
25,25,103,741190,U4353@DOM1,C17693,C15232,U4353,DOM1,,9,14.0,914.0
26,26,104,741544,U349@DOM1,C17693,C801,U349,DOM1,,9,14.0,914.0
27,27,105,741971,U4856@DOM1,C17693,C1015,U4856,DOM1,,9,15.0,915.0
28,28,106,743030,U5087@DOM1,C17693,C1448,U5087,DOM1,,9,15.0,915.0
29,29,107,743134,U5087@DOM1,C17693,C359,U5087,DOM1,,9,15.0,915.0
30,30,108,743223,U5087@DOM1,C17693,C21963,U5087,DOM1,,9,15.0,915.0
31,31,109,743232,U5087@DOM1,C17693,C359,U5087,DOM1,,9,15.0,915.0
32,32,110,743403,U5087@DOM1,C17693,C21963,U5087,DOM1,,9,15.0,915.0
33,33,111,743411,U5087@DOM1,C17693,C21963,U5087,DOM1,,9,15.0,915.0
34,34,112,743502,U5087@DOM1,C17693,C1268,U5087,DOM1,,9,15.0,915.0
35,35,113,743509,U5087@DOM1,C17693,C353,U5087,DOM1,,9,15.0,915.0
36,36,114,743733,U9763@DOM1,C17693,C353,U9763,DOM1,,9,15.0,915.0
37,37,115,743965,U9763@DOM1,C17693,C21814,U9763,DOM1,,9,15.0,915.0
38,38,116,744145,U5087@DOM1,C17693,C21814,U5087,DOM1,,9,15.0,915.0
39,39,117,744215,U795@DOM1,C17693,C10005,U795,DOM1,,9,15.0,915.0
40,40,118,744255,U5087@DOM1,C17693,C353,U5087,DOM1,,9,15.0,915.0
41,41,119,744902,U9947@DOM1,C17693,C20966,U9947,DOM1,,9,15.0,915.0
42,42,120,745795,U9947@DOM1,C17693,C853,U9947,DOM1,,9,16.0,916.0
43,43,121,745961,U9947@DOM1,C17693,C853,U9947,DOM1,,9,16.0,916.0
44,44,122,746039,U9947@DOM1,C17693,C853,U9947,DOM1,,9,16.0,916.0
45,45,123,746078,U9947@DOM1,C17693,C923,U9947,DOM1,,9,16.0,916.0
46,46,124,746151,U882@DOM1,C17693,C11039,U882,DOM1,,9,16.0,916.0
47,47,125,746353,U882@DOM1,C17693,C1616,U882,DOM1,,9,16.0,916.0
48,48,126,746387,U8777@C583,C17693,C583,U8777,C583,,9,16.0,916.0
49,49,127,746595,U882@DOM1,C17693,C1616,U882,DOM1,,9,16.0,916.0
50,50,128,746638,U9947@DOM1,C17693,C346,U9947,DOM1,,9,16.0,916.0
51,51,129,746860,U9947@DOM1,C17693,C20203,U9947,DOM1,,9,16.0,916.0
52,52,130,747001,U1450@DOM1,C17693,C12448,U1450,DOM1,,9,16.0,916.0
53,53,131,747145,U9947@DOM1,C17693,C20203,U9947,DOM1,,9,16.0,916.0
54,54,132,747163,U1450@DOM1,C17693,C12448,U1450,DOM1,,9,16.0,916.0
55,55,133,747229,U8777@C583,C17693,C583,U8777,C583,,9,16.0,916.0
56,56,134,747247,U8777@C1500,C17693,C1500,U8777,C1500,,9,16.0,916.0
57,57,135,747259,U1450@DOM1,C17693,C12448,U1450,DOM1,,9,16.0,916.0
58,58,136,747388,U9947@DOM1,C17693,C346,U9947,DOM1,,9,16.0,916.0
59,59,137,747457,U9947@DOM1,C17693,C1479,U9947,DOM1,,9,16.0,916.0
60,60,138,747478,U8777@C3388,C17693,C3388,U8777,C3388,,9,16.0,916.0
61,61,139,747653,U1450@DOM1,C17693,C12448,U1450,DOM1,,9,16.0,916.0
62,62,140,747939,U374@DOM1,C17693,C1461,U374,DOM1,,9,16.0,916.0
63,63,141,748041,U1450@DOM1,C17693,C1119,U1450,DOM1,,9,16.0,916.0
64,64,142,748127,U2575@DOM1,C17693,C19156,U2575,DOM1,,9,16.0,916.0
65,65,143,748207,U2575@DOM1,C17693,C19156,U2575,DOM1,,9,16.0,916.0
66,66,144,748272,U1450@DOM1,C17693,C18113,U1450,DOM1,,9,16.0,916.0
67,67,145,748397,U374@DOM1,C17693,C1461,U374,DOM1,,9,16.0,916.0
68,68,146,748428,U1450@DOM1,C17693,C18113,U1450,DOM1,,9,16.0,916.0
69,69,147,748806,U9947@DOM1,C17693,C19803,U9947,DOM1,,9,17.0,917.0
70,70,148,748860,U9947@DOM1,C17693,C17425,U9947,DOM1,,9,17.0,917.0
